skill_id,model,optimizer_success,optimizer_status,optimizer_message,n_train_events,n_train_sequences,nll_train,log_loss_train_objective,n_parameters,aic_train,bic_train,n_iterations,n_function_evaluations,gradient_inf_norm,hessian_status,p_init,p_learn,slip,guess,lambda_per_day,retention_half_life_days,se_p_init_approx,se_p_learn_approx,se_slip_approx,se_guess_approx,se_lambda_per_day_approx
98,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59221,5500,34870.31952291513,0.5888167967936228,4,69748.63904583026,69784.59517178107,25,37,0.014720577664024539,positive_definite,0.7097520779887202,0.02312056842226612,0.2256966835228017,0.4899395366577667,0.0,inf,0.013675279501213732,0.0032854844062494486,0.00272184405645086,0.0004980198795788777,nan
98,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59221,5500,34817.04411353467,0.5879171934539212,5,69644.08822706934,69689.03338450784,33,35,0.011398194889387753,positive_definite,0.6883507500485171,0.03419714209879781,0.2126085859235041,0.4899395366577667,0.0009248167484401023,749.4967859622824,0.014275391393366622,0.0037752746669398583,0.0032041686818426386,0.0005661530806511265,0.00015977192084682076
103,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,48252,5500,32619.898664105614,0.6760320538859657,4,65247.79732821123,65282.93409843797,47,113,5.417537444739401e-05,positive_definite,0.7224606432085412,0.01951334856009795,0.36564716109923323,0.38717652285497406,0.0,inf,0.03268176777786794,0.005258525272437754,0.0056843776476309055,0.017430284993292144,nan
103,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,48252,5500,32590.458095883492,0.6754219119597838,5,65190.916191766984,65234.83715455041,59,128,3.347375636620223e-05,positive_definite,0.7413271639038106,0.03293908944430793,0.3589785059953723,0.3590098791688877,0.0008035847092305102,862.5689023173217,0.03081995868545687,0.006933867508360513,0.005971214220975138,0.01927395771251812,0.00015734722787563363
106,BKT,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,59700,5500,38200.58425848973,0.6398757832242836,4,76409.16851697947,76445.15686617699,46,93,0.002876933656122617,positive_definite,0.6713412122337071,0.0050489861919982455,0.2788530169261569,0.4899395366577667,0.0,inf,0.01598214750886538,0.001575948080905067,0.0034875033161279865,0.0011197432650194255,nan
106,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59700,5500,38132.396157638555,0.6387336039805454,5,76274.79231527711,76319.77775177402,27,30,0.00011747718383478094,positive_definite,0.7533388454012879,0.01656438939901492,0.2794076287165298,0.43855918368303287,0.0010394200577745426,666.8595390048685,0.023099724149200727,0.0029972804021660146,0.004684200529097173,0.011825641562984834,0.00015299943368790806
119,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64845,5500,39753.53126838272,0.6130546883858852,4,79515.06253676544,79551.38155710853,31,82,0.043254436382586664,positive_definite,0.544531566667052,0.032620422573557115,0.23877409305064495,0.4899395366577667,0.0,inf,0.015530736138936716,0.003051041659937486,0.00275030100656431,0.00029056652731705463,nan
119,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64845,5500,39689.85874488593,0.6120727696026823,5,79389.71748977187,79435.11626520072,29,32,0.04062775872539152,positive_definite,0.5183333073364651,0.040612358058968595,0.22404776081371122,0.4899395366577667,0.0012094719396925678,573.0990176887728,0.015767864690620602,0.0033002780860251525,0.0032173817011700748,0.00029985288845441033,0.000195975799101905
143,BKT,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,137056,5500,82630.35865799792,0.6028948652959222,4,165268.71731599583,165308.02989551748,24,29,0.13393579623829818,positive_definite,0.5488497817106283,0.008709992556037672,0.22944950327854383,0.4899395366577667,0.0,inf,0.01204041089864299,0.000836596685208821,0.0017737850160167293,0.00016508733733497832,nan
143,BKT-F,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,137056,5500,82563.83517244527,0.6024094908099263,5,165137.67034489053,165186.8110692926,32,60,0.08470116709043506,positive_definite,0.5461012204458571,0.011871994377905693,0.2254320908235397,0.4899395366577667,0.0011199633757900847,618.9016494141699,0.012478764010338298,0.0010371995069426631,0.0018580612425244368,0.00020755441284692428,0.00018670689255879442
